x,y,z
7.782472372055053711e-01,-6.646936293691396713e-03,1.970791816711425781e+01
7.784420847892761230e-01,-6.644659209996461868e-03,1.970777511596679688e+01
7.786369323730468750e-01,-6.642381660640239716e-03,1.970763206481933594e+01
7.788317799568176270e-01,-6.640103645622730255e-03,1.970748901367187500e+01
7.790266871452331543e-01,-6.637825630605220795e-03,1.970734596252441406e+01
7.792215347290039062e-01,-6.635547149926424026e-03,1.970720481872558594e+01
7.794163823127746582e-01,-6.633268669247627258e-03,1.970706176757812500e+01
7.796112298965454102e-01,-6.630989722907543182e-03,1.970691871643066406e+01
7.798061370849609375e-01,-6.628710310906171799e-03,1.970677566528320312e+01
7.800009846687316895e-01,-6.626430433243513107e-03,1.970663261413574219e+01
7.801958918571472168e-01,-6.624150555580854416e-03,1.970648956298828125e+01
7.803907394409179688e-01,-6.621870677918195724e-03,1.970634651184082031e+01
7.805856466293334961e-01,-6.619589868932962418e-03,1.970620346069335938e+01
7.807805538177490234e-01,-6.617309059947729111e-03,1.970606040954589844e+01
7.809754014015197754e-01,-6.615028250962495804e-03,1.970591735839843750e+01
7.811703085899353027e-01,-6.612746510654687881e-03,1.970577430725097656e+01
7.813652157783508301e-01,-6.610465236008167267e-03,1.970563125610351562e+01
7.815601229667663574e-01,-6.608183030039072037e-03,1.970548820495605469e+01
7.817550301551818848e-01,-6.605900824069976807e-03,1.970534515380859375e+01
7.819499373435974121e-01,-6.603618152439594269e-03,1.970520210266113281e+01
7.821448445320129395e-01,-6.601335480809211731e-03,1.970505905151367188e+01
7.823397517204284668e-01,-6.599051877856254578e-03,1.970491600036621094e+01
7.825346589088439941e-01,-6.596768740564584732e-03,1.970477294921875000e+01
7.827296257019042969e-01,-6.594484671950340271e-03,1.970462989807128906e+01
7.829245328903198242e-01,-6.592200603336095810e-03,1.970448684692382812e+01
7.831194400787353516e-01,-6.589916534721851349e-03,1.970434379577636719e+01
7.833144068717956543e-01,-6.587631534785032272e-03,1.970419883728027344e+01
7.835093140602111816e-01,-6.585346534848213196e-03,1.970405578613281250e+01
7.837042808532714844e-01,-6.583061534911394119e-03,1.970391273498535156e+01
7.838991880416870117e-01,-6.580776069313287735e-03,1.970376968383789062e+01
7.840941548347473145e-01,-6.578490138053894043e-03,1.970362663269042969e+01
7.842891216278076172e-01,-6.576203741133213043e-03,1.970348358154296875e+01
7.844840288162231445e-01,-6.573917344212532043e-03,1.970333862304687500e+01
7.846789956092834473e-01,-6.571630481630563736e-03,1.970319557189941406e+01
7.848739624023437500e-01,-6.569343619048595428e-03,1.970305252075195312e+01
7.850689291954040527e-01,-6.567056290805339813e-03,1.970290946960449219e+01
7.852638959884643555e-01,-6.564768496900796890e-03,1.970276451110839844e+01
7.854588627815246582e-01,-6.562480702996253967e-03,1.970262145996093750e+01
7.856538295745849609e-01,-6.560192443430423737e-03,1.970247840881347656e+01
7.858487963676452637e-01,-6.557903718203306198e-03,1.970233345031738281e+01
7.860438227653503418e-01,-6.555614992976188660e-03,1.970219039916992188e+01
7.862387895584106445e-01,-6.553325802087783813e-03,1.970204734802246094e+01
7.864337563514709473e-01,-6.551036611199378967e-03,1.970190238952636719e+01
7.866287827491760254e-01,-6.548746954649686813e-03,1.970175933837890625e+01
7.868237495422363281e-01,-6.546456832438707352e-03,1.970161628723144531e+01
7.870187759399414062e-01,-6.544166710227727890e-03,1.970147132873535156e+01
7.872137427330017090e-01,-6.541875656694173813e-03,1.970132827758789062e+01
7.874087691307067871e-01,-6.539585068821907043e-03,1.970118331909179688e+01
7.876037359237670898e-01,-6.537293549627065659e-03,1.970104026794433594e+01
7.877987623214721680e-01,-6.535002030432224274e-03,1.970089721679687500e+01
7.879937887191772461e-01,-6.532710511237382889e-03,1.970075225830078125e+01
7.881888151168823242e-01,-6.530418526381254196e-03,1.970060920715332031e+01
7.883838415145874023e-01,-6.528126075863838196e-03,1.970046424865722656e+01
7.885788679122924805e-01,-6.525833159685134888e-03,1.970032119750976562e+01
7.887738943099975586e-01,-6.523540243506431580e-03,1.970017623901367188e+01
7.889689207077026367e-01,-6.521246861666440964e-03,1.970003318786621094e+01
7.891639471054077148e-01,-6.518953479826450348e-03,1.969988822937011719e+01
7.893589735031127930e-01,-6.516659632325172424e-03,1.969974517822265625e+01
7.895539999008178711e-01,-6.514365319162607193e-03,1.969960021972656250e+01
7.897490859031677246e-01,-6.512071006000041962e-03,1.969945526123046875e+01
7.899441123008728027e-01,-6.509776227176189423e-03,1.969931221008300781e+01
7.901391386985778809e-01,-6.507480982691049576e-03,1.969916725158691406e+01
7.903342247009277344e-01,-6.505185738205909729e-03,1.969902420043945312e+01
7.905292510986328125e-01,-6.502890028059482574e-03,1.969887924194335938e+01
7.907243371009826660e-01,-6.500593852251768112e-03,1.969873428344726562e+01
7.909194231033325195e-01,-6.498297676444053650e-03,1.969859123229980469e+01
7.911144495010375977e-01,-6.496001034975051880e-03,1.969844627380371094e+01
7.913095355033874512e-01,-6.493704393506050110e-03,1.969830131530761719e+01
7.915046215057373047e-01,-6.491407286375761032e-03,1.969815635681152344e+01
7.916997075080871582e-01,-6.489109713584184647e-03,1.969801330566406250e+01
7.918947935104370117e-01,-6.486812140792608261e-03,1.969786834716796875e+01
7.920898795127868652e-01,-6.484514102339744568e-03,1.969772338867187500e+01
7.922849655151367188e-01,-6.482215598225593567e-03,1.969757843017578125e+01
7.924800515174865723e-01,-6.479917094111442566e-03,1.969743537902832031e+01
